MininetTDF=1	MininetTDF=4	PhysicalTestbed
0	0	0
0.46	2.758	9.156
0.491	4.584	8.933
0.617	7.951	8.305
0.827	9.536	7.865
0.978	9.353	7.853
0.979	9.018	8.324
1.388	8.745	9.135
1.766	8.619	8.921
1.735	8.556	8.915
1.805	8.799	9.161
2.17	8.86	8.926
2.391	8.714	9.386
2.422	8.651	9.385
2.719	8.871	9.185
3.321	9.416	9.375
3.009	9.573	9.385
3.14	9.563	9.385
3.309	9.563	9.385
3.114	9.574	9.393
3.366	9.563	9.387
3.858	9.469	9.385
4.111	9.196	8.924
5.075	9.018	9.385
5.159	8.724	9.385
5.148	8.766	9.394
5.275	8.714	9.375
5.29	8.871	9.068
5.08	8.955	8.569
4.935	8.913	8.483
4.928	8.881	8.315
5.102	8.934	9.385
5.401	8.976	9.393
5.043	9.521	9.385
4.383	9.563	8.924
5.212	9.563	9.385
5.39	9.469	9.385
5.411	9.5	9.385
5.601	8.934	9.394
5.807	8.787	9.375
5.683	8.64	9.161
5.907	8.535	8.926
6.005	8.819	9.386
5.83	8.871	9.385
5.749	9.091	9.185
6.083	8.892	9.385
