4GTDF=1	4GTDF=4	8GTDF=1	8GTDF=4	10GTDF=1	10GTDF=4	PhysicalTestbed
2087	3827	1971	7319	2170	8860	8926
2380	3817	2296	7330	2391	8714	9386
2611	3827	2632	7539	2422	8651	9385
2800	3827	2527	7655	2719	8871	9185
2621	3827	2831	7655	3321	9416	9375
2569	3827	2957	7655	3009	9573	9385
2873	3827	3072	7655	3140	9563	9385
3460	3827	3251	7644	3309	9563	9385
3030	3827	3450	7655	3114	9574	9393
3272	3827	3628	7655	3366	9563	9387
3355	3817	4089	7655	3858	9469	9385
3544	3827	4237	7571	4111	9196	8924
3775	3827	4750	7550	5075	9018	9385
3806	3827	4949	7393	5159	8724	9385
3817	3817	5002	7403	5148	8766	9394
3817	3827	5841	7455	5275	8714	9375
3817	3827	6033	7529	5290	8871	9068
3806	3827	6046	7497	5080	8955	8569
3796	3827	5967	7592	4935	8913	8483
3722	3827	6187	7529	4928	8881	8315
3817	3827	6480	7560	5102	8934	9385
3827	3827	6135	7487	5401	8976	9393
3827	3817	6166	7602	5043	9521	9385
3817	3827	6380	7644	4383	9563	8924
3827	3827	5924	7655	5212	9563	9385
3806	3827	6122	7655	5390	9469	9385
3796	3827	6094	7644	5411	9500	9385
3817	3819	6235	7602	5601	8934	9394
3733	3827	6033	7508	5807	8787	9375
3817	3827	6263	7350	5683	8640	9161
3817	3827	6471	7141	5907	8535	8926
3827	3827	6396	7204	6005	8819	9386
3827	3827	6208	7099	5830	8871	9385
3817	3827	6411	7319	5749	9091	9185
3827	3827	6299	7351	6083	8892	9385
